percentage error,actual data
4.02E-05,0.318737812
4.02E-05,0.007898434
3.89E-05,2.34E-08
0.999991982,7.80E-12
1,1.93E-09
0.296958506,0.049908916
1.22E-16,8.50E-10
0.296958506,1.47E-12
1,0.24206573
0.61420379,1.87E-09
0.868193253,1.60E-12
0.207566337,0.049908916
0.058773316,8.50E-10
0,1.47E-12
0.265178989,0.382543307
0.025618663,8.50E-10
0.006751324,3.47E-13
1,1
0.00381427,2.25E-09
0.997811735,3.35E-12
1,0.107633569
0.996871786,1.83E-09
0.527018431,3.16E-12
0.879478758,0.049908916
0.093395207,8.50E-10
1.38E-16,1.47E-12
3.57E-05,0.037110222
0.999940277,0.05917218
8.25E-06,8.46E-09
0.999981938,1.01E-11
0.819237583,0.881479981
0.812159826,0.049908916
0.819237583,0.368377953
0.361935205,8.50E-10
0.180762417,1.47E-12
0.57159109,1
0.57159109,1.32E-08
0.887365669,1.61E-12
1,0.116866718
0.139787434,2.00E-09
0.941524176,3.43E-12
0.269538588,0.049908916
0.11684105,8.50E-10
0,1.47E-12
0.237772864,3.89E-09
0.98952256,5.66E-12
0.836461371,0.049908916
0.302515811,8.50E-10
0,1.47E-12
0.704344919,8.69E-10
0,1.47E-12
1,0.189215137
0.648438688,2.31E-12
1,3.54E-10
0.871083651,5.78E-12
1,5.02E-08
1,9.16E-05
0.702382214,0.001924254
1,0.024921905
0.000148819,4.37E-07
0.000148819,0.249082068
1,1.35E-13
1.38E-16,1.47E-12
0.889054822,0.125792928
0.816089556,0.740541353
0.886286892,2.14E-09
0.648381789,3.70E-12
1,0.594611267
0.208346156,0.049908916
0.086870579,8.50E-10
1.38E-16,1.47E-12
7.00E-06,3.13E-06
7.00E-06,1.99E-09
1.73E-16,1.91E-08
0.011174063,1.50E-05
0.011162095,1.50E-05
0.01115088,1.50E-05
0.011172931,1.50E-05
0.037885931,4.99E-06
0.03786462,4.99E-06
0.037882778,4.99E-06
0.037886766,4.99E-06
1,0.002490272
1,3.30E-13
1,3.30E-13
1,7.11E-14
0.243080469,1.91E-08
0.092991392,2.33E-05
0.092995888,2.33E-05
0.092986716,2.33E-05
0.754975498,6.01E-10
0.092988682,2.33E-05
0,1.91E-08
0.626574577,1.03E-05
0.626518836,1.03E-05
0.626547073,1.03E-05
0.31474492,6.01E-10
0.626579152,1.03E-05
0,1.91E-08
0.009692669,0.000110461
0.009691493,0.000110458
0.009698951,0.000110459
0.790840707,6.01E-10
0.009675692,0.000110457
0.577361094,4.35E-14
0.577359203,4.35E-14
0.727405979,9.38E-15
0.497875354,0.001412141
0.63,1.16E-10
2.05E-16,0.002115212
2.74E-16,1.88E-10
2.05E-16,0.002115212
2.74E-16,1.88E-10
1,0.004367321
0,0.002115212
1.37E-16,1.88E-10
0,0.002115212
0,1.88E-10
0,0.002115212
0,1.88E-10
2.05E-16,0.002115212
2.74E-16,1.88E-10
2.05E-16,0.002115212
0,1.88E-10
1,1.15E-11
0.875992985,2.20E-12
1.73E-16,1.91E-08
0.008910192,0.000119612
0.00891096,0.000119609
0.008897874,0.000119611
0.00893837,0.000119603
0.043214843,2.27E-05
0.043270747,2.27E-05
0.043225558,2.27E-05
0.043239563,2.27E-05
0,1.91E-08
0.135240867,0.00021504
0.135211321,0.000215026
0.135225235,0.000215035
0.135239831,0.00021503
0.069258785,3.67E-05
0.069270305,3.67E-05
0.069245503,3.67E-05
0.069248998,3.67E-05
1,1.10E-08
0.685211089,1.42E-12
0.472583743,8.59E-10
1.38E-16,1.47E-12
0.354764976,0.008234971
0,1.21E-12
1,0.004447994
0.498427991,8.50E-10
0,1.21E-12
0,2.60E-13
0.829036036,0.049908916
0.536299409,8.50E-10
1.38E-16,1.47E-12
0.64256617,6.47E-13
0,1.21E-12
0.483917838,0.00857452
1,0.006009418
1.22E-16,8.50E-10
0,1.21E-12
0,2.60E-13
0.48391492,0.000678963
0.779657742,1.40E-09
0,1.47E-12
1,1
0.218754882,9.26E-07
0.218754882,1.47E-12
1,1
1,2.04E-13
1.67E-16,1.21E-12
0.138523345,8.82E-10
0,1.21E-12
0,2.60E-13
0.000928633,1.18E-13
0.162027141,1.44E-12
0.000935367,1.18E-13
0.356088122,2.54E-14
0.081654882,8.08E-06
0.191938836,6.34E-06
0.627743275,1.87E-05
0.191938628,6.34E-06
0.19192957,6.34E-06
1.642867457,2.68E-05
0.191920815,6.34E-06
1,0.085631101
0.023236506,3.66E-07
0.023211206,2.87E-07
1,6.17E-05
0.023230487,2.87E-07
0.023214004,2.87E-07
0.023219572,2.87E-07
0.00586891,2.18E-07
0.005844222,1.71E-07
0.870832853,2.81E-05
0.005822964,1.71E-07
0.005860206,1.71E-07
0.005870324,1.71E-07
0.787223557,2.74E-11
0.787223557,6.43E-09
0.082219222,2.74E-11
0.082219222,6.43E-09
0.917780778,1.47E-12
1.47E-16,3.43E-13
1.47E-16,3.43E-13
0.597275115,1.78E-07
0.412033797,8.84E-05
0.618882351,0.000108239
0.646333676,0.131085714
1,1
0.618882351,0.05594656
0.01985901,0.373696408
1,5.63E-08
1,3.17E-05
1,0.021347197
1,0.00074666
1,1
1,1
1,4.28E-05
1,0.055045714
1,0.022378624
1.47E-16,1.37E-12
5.28E-10,3.53E-07
5.31E-10,2.77E-07
5.23E-10,2.77E-07
5.32E-10,2.77E-07
5.31E-10,2.77E-07
0.165565022,1.37E-12
0.155025877,1.37E-12
0.624554231,0.003196721
0.006919259,8.50E-10
0.004315873,1.05E-12
0.068732908,8.50E-10
0.951479764,3.29E-13
6.64E-07,0.056454023
3.56E-07,0.01482618
6.64E-07,0.026948995
1.10E-06,0.011073716
6.64E-07,0.07189
0.999986945,0.009204511
6.64E-07,0.002213051
1,0.004529827
4.48E-07,1.18E-08
0.999999523,8.49E-12
1,0.000358694
0.005401031,8.50E-10
0.013426279,1.05E-12
1,2.63E-08
1,2.55E-05
1,3.12E-13
1,0.000190266
1,1.05E-05
1,5.41E-12
1,3.12E-13
1,6.74E-14
1,1.51E-05
0.197443714,1.40E-09
0.693878613,1.47E-12
1,1.46E-11
0.417900559,3.52E-13
0.999089124,1.29E-10
0.957587453,4.16E-12
0.052994789,8.50E-10
1.38E-16,1.47E-12
1.67E-16,1.21E-12
0.001113304,8.50E-10
0,1.21E-12
0,2.60E-13
0.058336099,3.30E-11
1,8.50E-10
0.058319669,3.30E-11
0.338372478,7.11E-12
0.839125478,1.91E-08
0.303876461,4.09E-06
0.303867756,4.08E-06
0.303887091,4.08E-06
0.303848255,4.08E-06
1.975925341,1.36E-06
1.975894272,1.36E-06
1.975896045,1.36E-06
1.975924237,1.36E-06
1,2.97E-07
0,1.91E-08
0.070204417,6.48E-05
0.070222601,6.48E-05
0.070232937,6.48E-05
0.070225007,6.48E-05
0.040806652,1.24E-05
0.040819553,1.24E-05
0.040820915,1.24E-05
0.040827386,1.24E-05
1.73E-16,1.91E-08
0.007964361,0.000116999
0.007948514,0.000116994
0.007932854,0.000116994
0.007917205,0.000116989
0.130644322,1.99E-05
0.130628848,1.99E-05
0.130628869,1.99E-05
0.130647312,1.99E-05
0.376828736,1.91E-08
0.010481678,1.28E-05
0.010478621,1.28E-05
0.010483517,1.28E-05
0.010464648,1.28E-05
0.069733778,4.75E-06
0.069749059,4.75E-06
0.069725269,4.75E-06
