Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
[sulfonyl]urea-compound//[RER] [sulfonyl]urea-compound production,[sulfonyl]urea-compound,[RER],[sulfonyl]urea-compound production,kg,3,[sulfonyl]urea-compound_[sulfonyl]urea-compound production,2
[thio]carbamate-compound//[RER] [thio]carbamate-compound production,[thio]carbamate-compound,[RER],[thio]carbamate-compound production,kg,3,[thio]carbamate-compound_[thio]carbamate-compound production,2
"1,1-difluoroethane, HFC-152a//[US] 1,1-difluoroethane production, HFC-152a","1,1-difluoroethane, HFC-152a",[US],"1,1-difluoroethane production, HFC-152a",kg,3,"1,1-difluoroethane, HFC-152a_1,1-difluoroethane production, HFC-152a",2
"1,1-dimethylcyclopentane//[GLO] 1,1-dimethylcyclopentane to generic market for solvent, organic","1,1-dimethylcyclopentane",[GLO],"1,1-dimethylcyclopentane to generic market for solvent, organic",kg,2,"1,1-dimethylcyclopentane_1,1-dimethylcyclopentane to generic market for solvent, organic",1
1-propanol//[RER] 1-propanol production,1-propanol,[RER],1-propanol production,kg,3,1-propanol_1-propanol production,2
"2,3-dimethylbutan//[GLO] 2,3-dimethylbutan to generic market for solvent, organic","2,3-dimethylbutan",[GLO],"2,3-dimethylbutan to generic market for solvent, organic",kg,2,"2,3-dimethylbutan_2,3-dimethylbutan to generic market for solvent, organic",1
"2,4-dichlorophenol//[RER] 2,4-dichlorophenol production","2,4-dichlorophenol",[RER],"2,4-dichlorophenol production",kg,3,"2,4-dichlorophenol_2,4-dichlorophenol production",2
"2,4-dichlorotoluene//[RER] 2,4-dichlorotoluene production","2,4-dichlorotoluene",[RER],"2,4-dichlorotoluene production",kg,3,"2,4-dichlorotoluene_2,4-dichlorotoluene production",2
2-methyl-2-butanol//[RER] 2-methyl-2-butanol production,2-methyl-2-butanol,[RER],2-methyl-2-butanol production,kg,3,2-methyl-2-butanol_2-methyl-2-butanol production,2
"2-methylpentane//[GLO] 2-methylpentane to generic market for solvent, organic",2-methylpentane,[GLO],"2-methylpentane to generic market for solvent, organic",kg,2,"2-methylpentane_2-methylpentane to generic market for solvent, organic",1
2-nitroaniline//[RER] 2-nitroaniline production,2-nitroaniline,[RER],2-nitroaniline production,kg,3,2-nitroaniline_2-nitroaniline production,2
2-pyridinol//[RER] 2-pyridinol production,2-pyridinol,[RER],2-pyridinol production,kg,3,2-pyridinol_2-pyridinol production,2
